epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/f1_macro,test/loss,train/acc_epoch,train/acc_step,train/loss_epoch,train/loss_step,val/acc,val/f1_macro,val/loss,val/n_classes_pred,val_f1_macro
,8.999999999999999e-05,0.0009,9,,,,,,,,,,,,
,8.999999999999999e-05,0.0009,9,,,,,,,,,,,,
0,,,9,,,,,0.0,,3.2042136192321777,,,,,
,0.00019,0.0019,19,,,,,,,,,,,,
,0.00019,0.0019,19,,,,,,,,,,,,
0,,,19,,,,,0.0,,3.3645665645599365,,,,,
,0.00029,0.0029,29,,,,,,,,,,,,
,0.00029,0.0029,29,,,,,,,,,,,,
0,,,29,,,,,0.1875,,2.653738260269165,,,,,
,0.00039000000000000005,0.0039000000000000003,39,,,,,,,,,,,,
,0.00039000000000000005,0.0039000000000000003,39,,,,,,,,,,,,
0,,,39,,,,,0.0625,,2.4426655769348145,,,,,
,0.00049,0.0049,49,,,,,,,,,,,,
,0.00049,0.0049,49,,,,,,,,,,,,
0,,,49,,,,,0.1875,,2.717656135559082,,,,,
,0.000499999573671592,0.00499999573671592,59,,,,,,,,,,,,
,0.000499999573671592,0.00499999573671592,59,,,,,,,,,,,,
0,,,59,,,,,0.25,,3.0373716354370117,,,,,
,0.0004999980999456286,0.004999980999456286,69,,,,,,,,,,,,
,0.0004999980999456286,0.004999980999456286,69,,,,,,,,,,,,
0,,,69,,,,,0.25,,2.10148024559021,,,,,
,0.0004999955735649999,0.004999955735649999,79,,,,,,,,,,,,
,0.0004999955735649999,0.004999955735649999,79,,,,,,,,,,,,
0,,,79,,,,,0.625,,2.7369394302368164,,,,,
,0.0004999919945403438,0.004999919945403438,89,,,,,,,,,,,,
,0.0004999919945403438,0.004999919945403438,89,,,,,,,,,,,,
0,,,89,,,,,0.1875,,2.4396448135375977,,,,,
,0.0004999873628867302,0.004999873628867302,99,,,,,,,,,,,,
,0.0004999873628867302,0.004999873628867302,99,,,,,,,,,,,,
0,,,99,,,,,0.0625,,3.077435255050659,,,,,
,0.0004999816786236614,0.004999816786236614,109,,,,,,,,,,,,
,0.0004999816786236614,0.004999816786236614,109,,,,,,,,,,,,
0,,,109,,,,,0.625,,2.4283151626586914,,,,,
,0.0004999749417750718,0.004999749417750719,119,,,,,,,,,,,,
,0.0004999749417750718,0.004999749417750719,119,,,,,,,,,,,,
0,,,119,,,,,0.5,,2.145840883255005,,,,,
,0.000499967152369328,0.00499967152369328,129,,,,,,,,,,,,
,0.000499967152369328,0.00499967152369328,129,,,,,,,,,,,,
0,,,129,,,,,0.4375,,1.7020736932754517,,,,,
,0.0004999583104392285,0.004999583104392285,139,,,,,,,,,,,,
,0.0004999583104392285,0.004999583104392285,139,,,,,,,,,,,,
0,,,139,,,,,0.3125,,1.374713659286499,,,,,
,0.0004999484160220034,0.0049994841602200345,149,,,,,,,,,,,,
,0.0004999484160220034,0.0049994841602200345,149,,,,,,,,,,,,
0,,,149,,,,,0.5625,,2.1496741771698,,,,,
,0.0004999374691593148,0.004999374691593148,159,,,,,,,,,,,,
,0.0004999374691593148,0.004999374691593148,159,,,,,,,,,,,,
0,,,159,,,,,0.75,,2.46390700340271,,,,,
,0.000499925469897256,0.004999254698972559,169,,,,,,,,,,,,
,0.000499925469897256,0.004999254698972559,169,,,,,,,,,,,,
0,,,169,,,,,0.625,,2.445037364959717,,,,,
,0.0004999124182863518,0.004999124182863518,179,,,,,,,,,,,,
,0.0004999124182863518,0.004999124182863518,179,,,,,,,,,,,,
0,,,179,,,,,0.9375,,2.1030099391937256,,,,,
,0.0004998983143815578,0.004998983143815579,189,,,,,,,,,,,,
,0.0004998983143815578,0.004998983143815579,189,,,,,,,,,,,,
0,,,189,,,,,0.6875,,1.6062963008880615,,,,,
,0.0004998831582422609,0.00499883158242261,199,,,,,,,,,,,,
,0.0004998831582422609,0.00499883158242261,199,,,,,,,,,,,,
0,,,199,,,,,0.75,,2.407055377960205,,,,,
,0.0004998669499322781,0.004998669499322781,209,,,,,,,,,,,,
,0.0004998669499322781,0.004998669499322781,209,,,,,,,,,,,,
0,,,209,,,,,0.75,,1.8701777458190918,,,,,
,0.000499849689519857,0.00499849689519857,219,,,,,,,,,,,,
,0.000499849689519857,0.00499849689519857,219,,,,,,,,,,,,
0,,,219,,,,,0.625,,2.6391396522521973,,,,,
,0.0004998313770776751,0.004998313770776751,229,,,,,,,,,,,,
,0.0004998313770776751,0.004998313770776751,229,,,,,,,,,,,,
0,,,229,,,,,0.6875,,2.261716604232788,,,,,
,0.0004998120126828398,0.0049981201268283985,239,,,,,,,,,,,,
,0.0004998120126828398,0.0049981201268283985,239,,,,,,,,,,,,
0,,,239,,,,,0.6875,,1.2603752613067627,,,,,
,0.0004997915964168877,0.004997915964168878,249,,,,,,,,,,,,
,0.0004997915964168877,0.004997915964168878,249,,,,,,,,,,,,
0,,,249,,,,,0.625,,1.8160150051116943,,,,,
,0.0004997701283657848,0.0049977012836578474,259,,,,,,,,,,,,
,0.0004997701283657848,0.0049977012836578474,259,,,,,,,,,,,,
0,,,259,,,,,0.6875,,1.9700791835784912,,,,,
,0.0004997476086199251,0.004997476086199251,269,,,,,,,,,,,,
,0.0004997476086199251,0.004997476086199251,269,,,,,,,,,,,,
0,,,269,,,,,0.4375,,2.570809841156006,,,,,
,0.0004997240372741318,0.004997240372741318,279,,,,,,,,,,,,
,0.0004997240372741318,0.004997240372741318,279,,,,,,,,,,,,
0,,,279,,,,,0.6875,,2.546386957168579,,,,,
,0.0004996994144276554,0.0049969941442765545,289,,,,,,,,,,,,
